"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.37.4133.01A.01R.1100.07"	"TCGA.77.7465.01A.11R.2045.07"	"TCGA.34.5240.01A.01R.1443.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.62.8398.01A.11R.2326.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.55.A48Y.01A.11R.A24H.07"	"TCGA.NC.A5HM.01A.12R.A26W.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.62.A470.01A.11R.A24H.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.73.4677.01A.01R.1206.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.44.7671.01A.11R.2066.07"	"TCGA.63.5131.01A.01R.1443.07"	"TCGA.50.5044.01A.21R.1858.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.73.4670.01A.01R.1206.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.94.8490.01A.11R.2326.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.63.7023.01A.11R.1949.07"	"TCGA.MP.A4T7.01A.11R.A24X.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.37.A5EL.01A.11R.A26W.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.50.5932.01A.11R.1755.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.52.7810.01A.11R.2125.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.75.7031.01A.11R.1949.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.18.3417.01A.01R.1443.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4613.01A.01R.1443.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.18.3406.01A.01R.0980.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.55.A492.01A.11R.A24H.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.22.5473.01A.01R.1635.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.8094.01A.11R.2241.07"	"TCGA.50.7109.01A.11R.2039.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.85.8070.01A.11R.2247.07"	"TCGA.85.A4CL.01A.41R.A26W.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.63.A5MB.01A.11R.A26W.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.49.4514.01A.21R.1858.07"	"TCGA.50.5066.01A.01R.1628.07"	"TCGA.56.8308.01A.11R.2296.07"	"TCGA.37.4132.01A.01R.1100.07"	"TCGA.66.2795.01A.02R.0980.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.63.5128.01A.01R.1443.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.78.7167.01A.11R.2066.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.85.8052.01A.11R.2247.07"	"TCGA.05.4397.01A.01R.1206.07"	"TCGA.63.A5MI.01A.12R.A27Q.07"	"TCGA.50.5931.01A.11R.1755.07"	"TCGA.34.5241.01A.01R.1443.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.51.4080.01A.01R.1100.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.33.4566.01A.01R.1443.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.NJ.A7XG.01A.12R.A39D.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.58.8391.01A.11R.2326.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.22.5471.01A.01R.1635.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.NC.A5HD.01A.11R.A26W.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.56.5898.01A.11R.1635.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.58.A46N.01A.11R.A24H.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.21.5786.01A.01R.1635.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.95.7948.01A.11R.2187.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.85.7697.01A.11R.2125.07"	"TCGA.NJ.A4YG.01A.22R.A262.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.60.2719.01A.01R.0851.07"	"TCGA.38.4631.01A.01R.1755.07"	"TCGA.NC.A5HG.01A.11R.A26W.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.22.5483.01A.01R.1820.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.75.6206.01A.11R.1755.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"TCGA.NC.A5HR.01A.21R.A26W.07"	"TCGA.39.5035.01A.01R.1443.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.70.6723.01A.11R.1820.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.55.7913.01B.11R.2241.07"	"TCGA.55.8090.01A.11R.2241.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4591.01A.01R.1201.07"	"TCGA.NC.A5HH.01A.11R.A26W.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.77.8128.01A.11R.2247.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.95.8494.01A.11R.2326.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.94.8491.01A.11R.2326.07"	"TCGA.78.7147.01A.11R.2039.07"	"TCGA.96.8170.01A.11R.2296.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.97.7937.01A.11R.2170.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.66.2759.01A.01R.0851.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.66.2786.01A.01R.0851.07"	"TCGA.4B.A93V.01A.11R.A39D.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.39.5021.01A.01R.1443.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.18.3411.01A.01R.0980.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.63.A5MU.01A.11R.A26W.07"	"TCGA.51.4079.01A.01R.1100.07"	"TCGA.75.5146.01A.01R.1628.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.NK.A7XE.01A.12R.A405.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.33.6738.01A.11R.1949.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.33.4586.01A.01R.1443.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.38.4628.01A.01R.1206.07"	"TCGA.85.7710.01A.11R.2125.07"
"IS01"	0.170266605752779	0.00116187005806968	0.0637388408541751	1.25027509306835e-14	0.143412057226022	0.00695078479457612	1.14730421839106e-14	0.0191754161459178	1.29571916615675e-14	0.000622481208591363	1.34725417407135e-14	0.632839635087832	0.0941317504229096	0.106633705875447	0.000101896632008993	0.0127525132122574	0.0472348724522003	0.24415578393586	1.32410467768981e-14	0.00826397259157198	1.28891839515003e-14	0.00119846767662221	0.10658390464624	0.00969510107158138	9.0057506153097e-15	1.17514860066755e-14	0.00613036057519002	0.00403896634061558	0.245604557145277	0.275111285925176	1.37401327409316e-14	0.00484446654226089	0.327572578874989	0.00246051503339908	0.371088815096852	1.33330945362903e-14	0.174224403237223	0.0577386462891841	9.32226846527756e-15	0.0850847238059178	0.00872459396577549	0.0017870907484242	0.0733820935831751	1.08186295649794e-14	0.0220619586046731	1.48750500741986e-14	0.190409681583938	0.40124061488198	1.42670023460679e-14	0.00232621594701199	0.00445316399981198	0.0821322437592966	0.053161983970907	0.0379071432881687	9.71867628140844e-15	1.29957166118797e-14	1.33284989451259e-05	0.266444307011902	0.0267578442020732	0.345240370735908	0.0442255686840676	0.229397327277727	0.0455597111069775	0.386235447339919	0.31136254120773	0.109172432158381	0.0213043958974759	0.00532082107898232	0.112926861973499	0.394981774402942	0.0042526524367616	0.423732662558235	0.408694886638393	0.610818424038083	1.07699283677164e-14	0.0114071310102946	0.202959046105941	0.0192958701525202	0.0364835382683106	0.12427987554564	1.31445562352895e-14	1.30128954736886e-14	0.274943391647534	0.425852739717769	8.07129421205019e-15	0.0740287921229235	0.0118808074208845	0.0118634557893156	0.171499289358468	0.00218372275120369	0.0743285993035833	0.0149307710187112	1.301534872809e-14	8.65650717168917e-15	0.00789733536839233	0.12467421173458	0.0300690605760251	0.0107754940902248	0.0929385121420324	0.0843737962454946	0.120270345448478	0.334026235306256	0.0728235691957655	0.00154409247629838	0.0609049399133745	0.0456852102610451	1.07484636901614e-14	0.0657328519211745	1.43938806595986e-14	0.301985684867504	0.0640078215146417	8.32385261907826e-15	0.0398846959702598	8.91996112434671e-15	0.0329247245680007	0.0429587533188129	1.09515814182287e-14	1.28398546688743e-14	1.20998541849416e-14	1.14243577759527e-14	1.23206940945317e-14	0.0682593476628472	0.154290910239716	1.35228040332987e-14	0.0378537557112584	0.00611878221416015	0.0217793123728391	1.42571258305977e-14	1.914588227746e-14	0.465700588043313	0.287387170025654	0.43841513405274	1.11975147977009e-14	0.642767483316633	0.053019500800731	1.90898045450261e-14	0.101838664108887	0.378192377452835	0.436355053948421	0.0171507514188213	0.00811885046601821	0.0948907755662087	1.23413086277883e-14	1.50908718618713e-14	0.269843452187442	0.0463444433430217	0.479816390541191	0.0287593292820876	1.95870111508921e-09	0.185829991373644	0.133992556894584	0.435471663946455	0.00345807446871698	0.00531878685179045	1.36820504830413e-14	0.0184259179317301	0.0739647667730378	1.54226762928326e-14	0.100060838784691	0.211881058243768	0.595025909840413	1.56514757277375e-14	0.00604853187116979	0.211050334300247	0.430393766254186	1.11634992503922e-14	0.0018575705219926	0.00239423815456788	9.52588035358352e-15	0.0266957747106256	1.38270837988331e-14	0.0124399391055318	1.54845100793827e-14	1.8100641002096e-14	0.00931166007727031	0.166213291749885	0.026266142720829	0.360051331439458	0.00815494773467008	1.06312629139708e-14	0.166087044635384	0.144082781047989	0.00249986683281826	0.229250334489316	1.10850153215127e-14	0.389278275641463	0.00614414415766504	7.87650428828718e-15	0.0156738116329668	0.0157867189385778	0.0286857202668519	0.309410121801047	0.376496720174117	0.133001549692184	0.478846994634445	0.319909837924983	0.00426379304902314	1.18755681113622e-14	0.24967205310047	0.0260172417504996	0.0358298528419837	0.0404927822276251	0.401405228924289	9.21743533439862e-15	1.02484752512672e-14	0.137103489167095	0.221673319294382	1.27917931000226e-14	0.0125364188039102	0.332233502025702	1.69161767720193e-14	0.144915533799886	0.374369196058139	1.40119307484719e-14	0.138565040701863	0.0617047001456803	0.0738287504087259	1.14194654417539e-11	0.000745744251736877	0.237689533559818	0.382329444525417	0.1296594941557	1.29157124479462e-14	0.0866513230602935	1.4102859276761e-14	0.0358685842421946	1.12433324135029e-14	0.0259748095793424	0.292677572731541	0.425440199290645	0.193552517637642	1.13111297176064e-14	1.02670824638777e-14	0.301609773558122	0.0493721341191608	0.17327848752979	0.0614028960275351	0.381849618200516	0.0179504214561401	0.265670484276322	0.465617533976357	9.48590895108664e-15	1.04524907560525e-14	1.48823284417934e-14	0.282461938771196	0.0282458155768731	0.0357063794367974	1.04598912821152e-14	1.0860558300041e-14	1.68125762603951e-14
"IS02"	0.274827735993206	0.0395572632650163	0.0495532028549446	1.25027509306835e-14	0.12687718470341	0.139705256808388	0.323983039474238	0.0410378019760464	0.081824726536603	8.89884112746001e-15	0.307824849491124	0.0148751422816154	0.101824271371604	0.167969708746322	1.83062610134414e-14	1.24136776475397e-14	0.111947543054241	0.0674683446765949	1.32410467768981e-14	0.17150776907412	0.0657441824486953	0.0254271379538643	0.0247210083399247	1.78964791715673e-14	0.182360976794402	1.17514860066755e-14	0.273645822358189	0.124040622985776	0.151750614552653	0.154688210632623	0.341952015686825	0.0988829083690059	0.057208931898462	0.307185049539495	0.111742686415299	0.033160486892781	0.22387465703074	0.0515888018543359	9.32226846527756e-15	0.0672613261323506	0.21667807831945	0.0724987874336931	0.01599825244411	1.08186295649794e-14	0.215952460523938	1.48750500741986e-14	1.24141832511731e-14	0.0498953788615307	0.135990453610403	0.0372950741718002	1.14538040185864e-14	1.54771881570266e-14	0.155021618638023	0.0669251006211234	0.39977107497745	0.301392665063072	0.0264427207601258	1.2985539127025e-14	0.0506883461471981	0.0553722841345754	0.409451843222051	0.0676519397914602	0.24020561344119	0.0513266539592131	0.129404115116279	0.170098228281871	0.0323653186308528	0.118284255361764	0.299073759131016	0.0180896974802591	0.29071370336583	0.145680132549957	0.00466133224918442	5.65014354653851e-15	0.0170134922783752	0.00678423490858332	0.0158146341883201	0.261431380384854	0.180555186010476	0.119079546640405	0.0187981557612518	0.170506422692076	0.206186637431259	0.0773082932878571	0.0942662434029293	0.066201134510002	0.0538790591469175	0.0945045007652469	0.00158140689274792	0.0901029378365858	0.289076164012274	9.10259946350901e-15	0.00376251911180935	0.294187827877822	2.90993925570241e-05	0.39984923998243	0.40139982467839	0.242232631118905	0.0619331204861467	1.29316533192292e-14	0.00596419073533999	0.228847035120856	1.5663446058304e-14	0.0348869511765318	0.047483470342175	0.025987500980433	0.0777113672265487	1.2078905464677e-14	0.300318416154517	0.0686364885167437	0.292632532206748	0.0713481869286862	0.242602748855053	0.234455605482882	1.68381527493286e-14	9.77254382587508e-15	0.0519901452323906	0.261911535477392	1.20998541849416e-14	1.14243577759527e-14	0.20632793107316	0.0675462223548893	0.122958805379343	0.137354246435374	0.223261660949208	0.385851269694504	0.033938437843108	0.351516664028134	0.163891590624644	0.0212039721491095	0.0570065674041096	0.101690797864397	0.363883665625005	0.0868367639399756	7.68525689232404e-15	0.038543998414608	0.0811748848998595	0.0238720006088458	1.46029696943731e-09	0.22941620301219	0.283966088845881	0.262196069344238	0.0438490498107751	0.00791083500517827	0.143225200839122	0.05026207013842	0.0540712051771706	0.0843070737943378	8.62167946846785e-15	0.100080905820327	0.270248286867645	0.200241038119232	0.276512887988758	0.0370129754973916	0.113511126601484	0.130514229480947	0.21661895803922	1.54226762928326e-14	0.0396122582459651	0.248245381014996	0.0661176907329	0.108231056944753	0.172594895421016	0.160946647116157	0.0871085803960607	0.0134120623899468	0.215417759307293	0.0267776079484302	0.168213558480949	6.04829340549745e-08	0.0527068931531543	0.0743961645964351	0.00669267766221274	0.0477346748335878	0.00573111814201682	0.196627723734991	0.252674705893033	9.64475818243751e-15	0.218166104956661	0.323141016696375	0.0535364036717947	0.122611664389695	0.141335466743406	0.355945465344485	0.233647794447746	0.252525499534186	0.186873828995145	0.0719078491363407	0.0855829538033554	0.15543811138979	0.0404190576629839	0.209072397370006	0.121040479923508	0.0216196191965288	0.022882865620778	0.0798381376676703	0.215590612053308	0.335734465534004	0.336412865325011	0.103249920686531	1.26904836456253e-14	0.083485767569028	0.0144576321750205	9.21743533439862e-15	0.210607288161756	0.111561709199408	0.0689197518273898	0.108170771008188	0.0693373496404659	0.0476427544636066	0.104979634108665	0.230103104459034	0.0688571798225846	0.301921980994495	0.0678358290385508	0.044660295587869	0.075476466368131	2.40996586212539e-07	0.125607442726521	0.124539925871561	1.01283169765355e-14	0.0115479269569568	0.156373777483139	0.0122601796663354	0.0188802396064506	9.27361776889989e-15	0.203016304313776	0.00643971425161276	0.0543017361766121	0.0660320418454259	0.0426764314059132	0.0552494245473793	0.0120549109498315	0.144165463231731	0.269208082230507	1.01566107771933e-14	0.0451584694923289	0.040995114341595	9.5258536526926e-15	0.0445786233721317	0.0494765571107412	9.48590895108664e-15	0.0466865556085875	0.0503959921155827	0.076014681338503	0.169695857916065	0.0474457859994633	0.0692056107699046	0.0143608809568851	0.351985356362583
"IS03"	0.10854314465715	1.37136419918969e-14	0.00668050524103639	0.0130597298038443	0.106645376887595	0.0317989952221608	0.031208597714064	0.031435477756372	1.29571916615675e-14	0.200287270436565	0.0338110441415335	0.0552488733266521	0.18251531859695	0.0694675650504917	1.83062610134414e-14	0.040440784026296	0.0699715762232582	0.0450936720410474	1.32410467768981e-14	1.34752354627848e-14	1.28891839515003e-14	0.0686261023597359	0.0620483589856701	0.0114036412672938	0.182116848500332	1.17514860066755e-14	0.022634418468823	0.0611352518739296	0.00882343843995316	0.0307118199240902	1.37401327409316e-14	1.96820374407365e-14	0.0889102234809831	9.69980546529961e-15	0.182875166015278	1.33330945362903e-14	0.00158840125900683	0.000764126918182878	0.000580405697114839	0.0989313570872026	0.0515240969322449	0.0578367402271039	0.0362674830447208	0.0623700044691662	0.166187217830314	0.0154426729755215	0.0499193617662472	0.0955571437521583	0.133291280292543	0.154050942965921	0.021599391742508	0.00791349189643677	0.0502925032558063	0.195010761745771	0.0587915159668412	0.000324931586918907	0.0697699047160798	0.00456838736181853	0.0693608016623561	0.124850079776859	0.00377165236608788	0.0492704156892057	0.101305401287633	0.0503139448956594	1.68161743408308e-14	0.105108070456639	0.019475537507669	0.0310589512455519	0.194605663085521	0.0482547926950024	1.07116065873685e-14	6.63487794300099e-15	0.0217824143131684	0.0528318456673306	0.144360161529345	0.0159646100448133	0.019507583511921	0.00919323746738227	0.0173932220870648	0.0793735780416225	0.0340556674027295	0.0202534971297204	0.0785949613667224	0.0878351191949526	0.0790533538968203	0.0144722162155233	0.0440301580412472	0.0379268315617645	0.0222984921273259	7.04044936439335e-15	0.0709546884593976	0.040088901809803	1.301534872809e-14	8.65650717168917e-15	0.000241689617243976	0.0737453085161628	0.101004252931673	0.0371774149580916	0.0730230774638316	0.0329446067200706	0.0536193392127306	0.0537258874152021	0.0636202738818454	0.0645433959801835	0.0139944783953066	0.0305886079160249	1.07484636901614e-14	0.0667454682700706	1.43938806595986e-14	0.0912986268921729	0.024271760124354	0.367451932207847	1.15316074042716e-14	8.91996112434671e-15	0.00718728607579491	0.0074868519441263	1.09515814182287e-14	0.0461378888548669	1.20998541849416e-14	0.0149465768653476	0.0132334465607518	1.40608474840981e-14	0.0296160677227738	1.35228040332987e-14	0.00762840674305107	0.0729319132105492	0.0860227151313568	1.42571258305977e-14	0.0664080008002575	0.0274745261687564	0.14454418514825	0.00480190701030688	0.0129431746637877	0.0969229380151845	0.235168676293238	0.053564718978585	0.0424049459934303	0.0106694398869209	0.013988442723062	0.0961701088228448	0.00245451316960174	0.00370702828613575	0.23693710493799	1.50908718618713e-14	0.121291248615115	0.105667289175557	0.0253387824569785	0.00716650649627341	0.0457538228822287	0.0907338380183222	1.02559632242722e-14	0.0132533932328997	0.194149181020682	0.073990729626145	1.36820504830413e-14	1.66818218414808e-14	0.000756053558088101	0.147486520403846	1.58907271127353e-14	0.0173657519962159	0.00479167323604095	0.250825513884883	1.04621301792087e-14	0.0130732671429395	0.000131411828497892	0.0575037284549704	0.0233200491778935	1.05520305041706e-14	0.000346419307614212	0.148644642965551	0.0577392285062731	0.0169045055024055	1.54845100793827e-14	1.8100641002096e-14	0.121502472686139	0.0265186930911081	0.00206671914447432	0.0436773855428639	0.0147787198621835	0.127886110027864	0.124074493738448	0.077784235836973	0.136865676111912	0.0143865477359706	0.0104286618469345	0.0712594508985421	0.207777254212387	0.0733895314512252	0.0185255345575735	0.0243943876478673	0.217231902314014	0.0116957214622889	0.050779597082481	0.0682663138455017	0.00226519206862188	0.237216407316764	0.000750067964337802	1.18755681113622e-14	0.014341757498754	0.00806290371218437	0.0153640729453056	0.0581056547851118	0.0549622366637094	0.104596927883644	1.02484752512672e-14	0.0063156734397311	0.053156127417241	0.111867355272008	0.0101811112091758	0.0848862859481048	0.000492445370386961	0.10195114306444	0.0517954319668794	0.0509155264646954	0.00432959941305358	0.00299819567383361	0.0671953897748184	0.0155687995779359	0.162910173055327	0.0193264709772036	0.0312583698208954	0.100621164952123	0.0776398541014887	0.0344803396022052	0.0493725982387291	0.0190344289535167	0.0209015227539344	0.062216639755319	1.6904757593113e-14	0.102337289590034	0.0636470534079713	0.00376457437397377	0.0389425741592946	0.000449640838077598	0.00315811288883752	0.0308421378342202	0.00980450094174294	0.112708548459825	0.00721983710495051	0.0578965583907231	0.016112480533501	0.0150674207977036	1.04524907560525e-14	1.48823284417934e-14	0.256776203062438	0.0914854057508615	0.0497580375581361	0.0498771401083815	0.00226523344114258	0.0230419369824724
